fileName,A,B,AtoB (bit/s),BtoA (bit/s)
EP031-1509141574508,192.168.0.122:47075,192.168.0.110:3000,77398.82443,1176.282564
EP032-1509143395291,192.168.0.122:47093,192.168.0.110:3000,5053.4982,131.1668428
EP032-1509143395291,192.168.0.110:59876,192.168.0.110:1883,148.1903664,4958.40472
EP032-1509143395291,127.0.0.1:46750,127.0.0.1:1883,32.33008601,4984.590285
EP032-1509143395291,192.168.0.122:47084,192.168.0.110:3000,294054.0541,147027.027
EP033-1509145209902,192.168.0.122:47101,192.168.0.110:3000,9742.522306,142.5029266
EP033-1509145209902,192.168.0.110:60370,192.168.0.110:1883,125.0453588,4711.264385
EP033-1509145209902,127.0.0.1:46750,127.0.0.1:1883,25.00637033,4699.302383
EP033-1509145209902,192.168.0.122:47093,192.168.0.110:3000,3660.013456,1327.65194
EP034-1509147031139,192.168.0.122:47106,192.168.0.110:3000,9728.107946,147.1072953
EP034-1509147031139,192.168.0.110:60862,192.168.0.110:1883,124.4265236,4711.81329
EP034-1509147031139,127.0.0.1:46750,127.0.0.1:1883,25.41831166,4778.117609
EP034-1509147031139,192.168.0.122:47101,192.168.0.110:3000,2342.051448,585.5128619
EP035-1509148851989,192.168.0.122:47111,192.168.0.110:3000,10167.86341,145.8904192
EP035-1509148851989,192.168.0.110:33118,192.168.0.110:1883,130.2672481,4934.423699
EP035-1509148851989,127.0.0.1:46750,127.0.0.1:1883,25.59132982,4972.405374
EP035-1509148851989,192.168.0.122:47106,192.168.0.110:3000,10951.18269,2737.795672
EP036-1509150669474,192.168.0.122:47115,192.168.0.110:3000,10197.16283,139.2237428
EP036-1509150669474,192.168.0.110:33614,192.168.0.110:1883,130.3198427,4939.713998
EP036-1509150669474,127.0.0.1:46750,127.0.0.1:1883,25.34995766,4928.839586
EP036-1509150669474,192.168.0.122:47111,192.168.0.110:3000,22113.82114,5528.455285
EP037-1509164711812,192.168.0.123:58857,192.168.0.110:3000,9590.720016,161.3376011
EP037-1509164711812,192.168.0.110:39382,192.168.0.110:1883,127.5606903,4642.959577
EP037-1509164711812,127.0.0.1:46750,127.0.0.1:1883,25.59960718,4727.646995
EP038-1509166531519,192.168.0.123:58862,192.168.0.110:3000,9560.99511,138.5541048
EP038-1509166531519,192.168.0.110:39876,192.168.0.110:1883,128.4307159,4641.503227
EP038-1509166531519,127.0.0.1:46750,127.0.0.1:1883,25.59969987,4738.937543
EP038-1509166531519,192.168.0.123:58857,192.168.0.110:3000,5735.371639,1433.84291
EP039-1509168350871,192.168.0.123:58866,192.168.0.110:3000,9568.173412,141.2986526
EP039-1509168350871,192.168.0.110:40364,192.168.0.110:1883,127.9199301,4851.812918
EP039-1509168350871,127.0.0.1:46750,127.0.0.1:1883,25.41788169,4869.950678
EP039-1509168350871,192.168.0.123:58862,192.168.0.110:3000,66545.17172,1095.091899
EP040-1509170169631,192.168.0.123:58870,192.168.0.110:3000,5041.019021,126.6651668
